,Year,Category,Nominee,Additional Info,Won?,Film Name,Total Nominations
75,2010 (83rd),Best Picture,Black Swan,"Mike Medavoy, Brian Oliver and Scott Franklin, Producers",0,Black Swan (2010),4
76,2010 (83rd),Best Picture,The Fighter,"David Hoberman, Todd Lieberman and Mark Wahlberg, Producers",0,The Fighter (2010),6
77,2010 (83rd),Best Picture,Inception,"Emma Thomas and Christopher Nolan, Producers",0,Inception (2010),5
78,2010 (83rd),Best Picture,The Kids Are All Right,"Gary Gilbert, Jeffrey Levy-Hinte and Celine Rattray, Producers",0,The Kids Are All Right (2010),3
79,2010 (83rd),Best Picture,The King's Speech,"Iain Canning, Emile Sherman and Gareth Unwin, Producers",1,The King's Speech (2010),10
80,2010 (83rd),Best Picture,127 Hours,"Christian Colson, Danny Boyle and John Smithson, Producers",0,127 Hours (2010),5
81,2010 (83rd),Best Picture,The Social Network,"Scott Rudin, Dana Brunetti, Michael De Luca and Ceán Chaffin, Producers",0,The Social Network (2010),6
82,2010 (83rd),Best Picture,Toy Story 3,"Darla K. Anderson, Producer",0,Toy Story 3 (2010),3
83,2010 (83rd),Best Picture,True Grit,"Scott Rudin, Ethan Coen and Joel Coen, Producers",0,True Grit (2010),8
84,2010 (83rd),Best Picture,Winter's Bone,"Anne Rosellini and Alix Madigan-Yorkin, Producers",0,Winter's Bone (2010),3
213,2009 (82nd),Best Picture,Avatar,"James Cameron and Jon Landau, Producers",0,Avatar (2009),7
214,2009 (82nd),Best Picture,The Blind Side,"Gil Netter, Andrew A. Kosove and Broderick Johnson, Producers",0,The Blind Side (2009),2
215,2009 (82nd),Best Picture,District 9,"Peter Jackson and Carolynne Cunningham, Producers",0,District 9 (2009),2
216,2009 (82nd),Best Picture,An Education,"Finola Dwyer and Amanda Posey, Producers",0,An Education (2009),2
217,2009 (82nd),Best Picture,The Hurt Locker,"Kathryn Bigelow, Mark Boal, Nicolas Chartier and Greg Shapiro, Producers",1,The Hurt Locker (2009),7
218,2009 (82nd),Best Picture,Inglourious Basterds,"Lawrence Bender, Producer",0,Inglourious Basterds (2009),6
219,2009 (82nd),Best Picture,Precious: Based on the Novel 'Push' by Sapphire,"Lee Daniels, Sarah Siegel-Magness and Gary Magness, Producers",0,Precious: Based on the Novel 'Push' by Sapphire (2009),5
220,2009 (82nd),Best Picture,A Serious Man,"Joel Coen and Ethan Coen, Producers",0,A Serious Man (2009),1
221,2009 (82nd),Best Picture,Up,"Jonas Rivera, Producer",0,Up (2009),3
222,2009 (82nd),Best Picture,Up in the Air,"Daniel Dubiecki, Ivan Reitman and Jason Reitman, Producers",0,Up in the Air (2009),5
348,2008 (81st),Best Picture,The Curious Case of Benjamin Button,"Kathleen Kennedy, Frank Marshall and Ceán Chaffin, Producers",0,The Curious Case of Benjamin Button (2008),10
349,2008 (81st),Best Picture,Frost/Nixon,"Brian Grazer, Ron Howard and Eric Fellner, Producers",0,Frost/Nixon (2008),4
350,2008 (81st),Best Picture,Milk,"Dan Jinks and Bruce Cohen, Producers",0,Milk (2008),7
351,2008 (81st),Best Picture,The Reader,"Anthony Minghella, Sydney Pollack, Donna Gigliotti and Redmond Morris, Producers",0,The Reader (2008),3
352,2008 (81st),Best Picture,Slumdog Millionaire,"Christian Colson, Producer",1,Slumdog Millionaire (2008),8
468,2007 (80th),Best Picture,Atonement,"Tim Bevan, Eric Fellner and Paul Webster, Producers",0,Atonement (2007),5
469,2007 (80th),Best Picture,Juno,"Lianne Halfon, Mason Novick and Russell Smith, Producers",0,Juno (2007),3
470,2007 (80th),Best Picture,Michael Clayton,"Sydney Pollack, Jennifer Fox and Kerry Orent, Producers",0,Michael Clayton (2007),6
471,2007 (80th),Best Picture,No Country for Old Men,"Scott Rudin, Ethan Coen and Joel Coen, Producers",1,No Country for Old Men (2007),6
472,2007 (80th),Best Picture,There Will Be Blood,"JoAnne Sellar, Paul Thomas Anderson and Daniel Lupi, Producers",0,There Will Be Blood (2007),6
595,2006 (79th),Best Picture,Babel,"Alejandro González Iñárritu, Jon Kilik and Steve Golin, Producers",0,Babel (2006),6
596,2006 (79th),Best Picture,The Departed,"Graham King, Producer",1,The Departed (2006),4
597,2006 (79th),Best Picture,Letters from Iwo Jima,"Clint Eastwood, Steven Spielberg and Robert Lorenz, Producers",0,Letters from Iwo Jima (2006),3
598,2006 (79th),Best Picture,Little Miss Sunshine,"David T. Friendly, Peter Saraf and Marc Turtletaub, Producers",0,Little Miss Sunshine (2006),3
599,2006 (79th),Best Picture,The Queen,"Andy Harries, Christine Langan and Tracey Seaward, Producers",0,The Queen (2006),5
723,2005 (78th),Best Picture,Brokeback Mountain,"Diana Ossana and James Schamus, Producers",0,Brokeback Mountain (2005),6
724,2005 (78th),Best Picture,Capote,"Caroline Baron, William Vince and Michael Ohoven, Producers",0,Capote (2005),4
725,2005 (78th),Best Picture,Crash,"Paul Haggis and Cathy Schulman, Producers",1,Crash (2005),5
726,2005 (78th),Best Picture,"Good Night, and Good Luck.","Grant Heslov, Producer",0,"Good Night, and Good Luck. (2005)",4
727,2005 (78th),Best Picture,Munich,"Kathleen Kennedy, Steven Spielberg and Barry Mendel, Producers",0,Munich (2005),4
855,2004 (77th),Best Picture,The Aviator,"Michael Mann and Graham King, Producers",0,The Aviator (2004),9
856,2004 (77th),Best Picture,Finding Neverland,"Richard N. Gladstein and Nellie Bellflower, Producers",0,Finding Neverland (2004),6
857,2004 (77th),Best Picture,Million Dollar Baby,"Clint Eastwood, Albert S. Ruddy and Tom Rosenberg, Producers",1,Million Dollar Baby (2004),6
858,2004 (77th),Best Picture,Ray,"Taylor Hackford, Stuart Benjamin and Howard Baldwin, Producers",0,Ray (2004),6
859,2004 (77th),Best Picture,Sideways,"Michael London, Producer",0,Sideways (2004),4
982,2003 (76th),Best Picture,The Lord of the Rings: The Return of the King,"Barrie M. Osborne, Peter Jackson and Fran Walsh, Producers",1,The Lord of the Rings: The Return of the King (2003),9
983,2003 (76th),Best Picture,Lost in Translation,"Ross Katz and Sofia Coppola, Producers",0,Lost in Translation (2003),3
984,2003 (76th),Best Picture,Master and Commander: The Far Side of the World,"Samuel Goldwyn, Jr., Peter Weir and Duncan Henderson, Producers",0,Master and Commander: The Far Side of the World (2003),8
985,2003 (76th),Best Picture,Mystic River,"Robert Lorenz, Judie G. Hoyt and Clint Eastwood, Producers",0,Mystic River (2003),5
986,2003 (76th),Best Picture,Seabiscuit,"Kathleen Kennedy, Frank Marshall and Gary Ross, Producers",0,Seabiscuit (2003),5
1106,2002 (75th),Best Picture,Chicago,"Martin Richards, Producer",1,Chicago (2002),11
1107,2002 (75th),Best Picture,Gangs of New York,"Alberto Grimaldi and Harvey Weinstein, Producers",0,Gangs of New York (2002),8
1108,2002 (75th),Best Picture,The Hours,"Scott Rudin and Robert Fox, Producers",0,The Hours (2002),8
1109,2002 (75th),Best Picture,The Lord of the Rings: The Two Towers,"Barrie M. Osborne, Fran Walsh and Peter Jackson, Producers",0,The Lord of the Rings: The Two Towers (2002),5
1110,2002 (75th),Best Picture,The Pianist,"Roman Polanski, Robert Benmussa and Alain Sarde, Producers",0,The Pianist (2002),5
1231,2001 (74th),Best Picture,A Beautiful Mind,"Brian Grazer and Ron Howard, Producers",1,A Beautiful Mind (2001),7
1232,2001 (74th),Best Picture,Gosford Park,"Robert Altman, Bob Balaban and David Levy, Producers",0,Gosford Park (2001),6
1233,2001 (74th),Best Picture,In the Bedroom,"Graham Leader, Ross Katz and Todd Field, Producers",0,In the Bedroom (2001),4
1234,2001 (74th),Best Picture,The Lord of the Rings: The Fellowship of the Ring,"Peter Jackson, Fran Walsh and Barrie M. Osborne, Producers",0,The Lord of the Rings: The Fellowship of the Ring (2001),10
1235,2001 (74th),Best Picture,Moulin Rouge,"Martin Brown, Baz Luhrmann and Fred Baron, Producers",0,Moulin Rouge (2001),7
1367,2000 (73rd),Best Picture,Chocolat,"David Brown, Kit Golden and Leslie Holleran, Producers",0,Chocolat (2000),4
1368,2000 (73rd),Best Picture,"Crouching Tiger, Hidden Dragon","Bill Kong, Hsu Li Kong and Ang Lee, Producers",0,"Crouching Tiger, Hidden Dragon (2000)",7
1369,2000 (73rd),Best Picture,Erin Brockovich,"Danny DeVito, Michael Shamberg and Stacey Sher, Producers",0,Erin Brockovich (2000),4
1370,2000 (73rd),Best Picture,Gladiator,"Douglas Wick, David Franzoni and Branko Lustig, Producers",1,Gladiator (2000),9
1371,2000 (73rd),Best Picture,Traffic,"Edward Zwick, Marshall Herskovitz and Laura Bickford, Producers",0,Traffic (2000),4
1495,1999 (72nd),Best Picture,American Beauty,"Bruce Cohen and Dan Jinks, Producers",1,American Beauty (1999),6
1496,1999 (72nd),Best Picture,The Cider House Rules,"Richard N. Gladstein, Producer",0,The Cider House Rules (1999),6
1497,1999 (72nd),Best Picture,The Green Mile,"David Valdes and Frank Darabont, Producers",0,The Green Mile (1999),3
1498,1999 (72nd),Best Picture,The Insider,"Michael Mann and Pieter Jan Brugge, Producers",0,The Insider (1999),5
1499,1999 (72nd),Best Picture,The Sixth Sense,"Frank Marshall, Kathleen Kennedy and Barry Mendel, Producers",0,The Sixth Sense (1999),5
1625,1998 (71st),Best Picture,Elizabeth,"Alison Owen, Eric Fellner and Tim Bevan, Producers",0,Elizabeth (1998),6
1626,1998 (71st),Best Picture,Life Is Beautiful,"Elda Ferri and Gianluigi Braschi, Producers",0,Life Is Beautiful (1998),5
1627,1998 (71st),Best Picture,Saving Private Ryan,"Steven Spielberg, Ian Bryce, Mark Gordon and Gary Levinsohn, Producers",0,Saving Private Ryan (1998),9
1628,1998 (71st),Best Picture,Shakespeare in Love,"David Parfitt, Donna Gigliotti, Harvey Weinstein, Edward Zwick and Marc Norman, Producers",1,Shakespeare in Love (1998),11
1629,1998 (71st),Best Picture,The Thin Red Line,"Robert Michael Geisler, John Roberdeau and Grant Hill, Producers",0,The Thin Red Line (1998),5
1777,1997 (70th),Best Picture,As Good as It Gets,"James L. Brooks, Bridget Johnson and Kristi Zea, Producers",0,As Good as It Gets (1997),6
1778,1997 (70th),Best Picture,The Full Monty,"Uberto Pasolini, Producer",0,The Full Monty (1997),3
1779,1997 (70th),Best Picture,Good Will Hunting,"Lawrence Bender, Producer",0,Good Will Hunting (1997),8
1780,1997 (70th),Best Picture,L.A. Confidential,"Arnon Milchan, Curtis Hanson and Michael Nathanson, Producers",0,L.A. Confidential (1997),7
1781,1997 (70th),Best Picture,Titanic,"James Cameron and Jon Landau, Producers",1,Titanic (1997),12
1914,1996 (69th),Best Picture,The English Patient,"Saul Zaentz, Producer",1,The English Patient (1996),10
1915,1996 (69th),Best Picture,Fargo,"Ethan Coen, Producer",0,Fargo (1996),5
1916,1996 (69th),Best Picture,Jerry Maguire,"James L. Brooks, Laurence Mark, Richard Sakai and Cameron Crowe, Producers",0,Jerry Maguire (1996),4
1917,1996 (69th),Best Picture,Secrets & Lies,"Simon Channing-Williams, Producer",0,Secrets & Lies (1996),4
1918,1996 (69th),Best Picture,Shine,"Jane Scott, Producer",0,Shine (1996),6
2046,1995 (68th),Best Picture,Apollo 13,"Brian Grazer, Producer",0,Apollo 13 (1995),7
2047,1995 (68th),Best Picture,Babe,"George Miller, Doug Mitchell and Bill Miller, Producers",0,Babe (1995),5
2048,1995 (68th),Best Picture,Braveheart,"Mel Gibson, Alan Ladd, Jr. and Bruce Davey, Producers",1,Braveheart (1995),8
2049,1995 (68th),Best Picture,The Postman (Il Postino),"Mario Cecchi Gori, Vittorio Cecchi Gori and Gaetano Daniele, Producers",0,The Postman (Il Postino) (1995),4
2050,1995 (68th),Best Picture,Sense and Sensibility,"Lindsay Doran, Producer",0,Sense and Sensibility (1995),5
2181,1994 (67th),Best Picture,Forrest Gump,"Wendy Finerman, Steve Tisch and Steve Starkey, Producers",1,Forrest Gump (1994),10
2182,1994 (67th),Best Picture,Four Weddings and a Funeral,"Duncan Kenworthy, Producer",0,Four Weddings and a Funeral (1994),1
2183,1994 (67th),Best Picture,Pulp Fiction,"Lawrence Bender, Producer",0,Pulp Fiction (1994),6
2184,1994 (67th),Best Picture,Quiz Show,"Robert Redford, Michael Jacobs, Julian Krainin and Michael Nozik, Producers",0,Quiz Show (1994),3
2185,1994 (67th),Best Picture,The Shawshank Redemption,"Niki Marvin, Producer",0,The Shawshank Redemption (1994),5
2317,1993 (66th),Best Picture,The Fugitive,"Arnold Kopelson, Producer",0,The Fugitive (1993),6
2318,1993 (66th),Best Picture,In the Name of the Father,"Jim Sheridan, Producer",0,In the Name of the Father (1993),6
2319,1993 (66th),Best Picture,The Piano,"Jan Chapman, Producer",0,The Piano (1993),6
2320,1993 (66th),Best Picture,The Remains of the Day,"Mike Nichols, John Calley and Ismail Merchant, Producers",0,The Remains of the Day (1993),7
2321,1993 (66th),Best Picture,Schindler's List,"Steven Spielberg, Gerald R. Molen and Branko Lustig, Producers",1,Schindler's List (1993),10
2438,1992 (65th),Best Picture,The Crying Game,"Stephen Woolley, Producer",0,The Crying Game (1992),5
2439,1992 (65th),Best Picture,A Few Good Men,"David Brown, Rob Reiner and Andrew Scheinman, Producers",0,A Few Good Men (1992),4
2440,1992 (65th),Best Picture,Howards End,"Ismail Merchant, Producer",0,Howards End (1992),7
2441,1992 (65th),Best Picture,Scent of a Woman,"Martin Brest, Producer",0,Scent of a Woman (1992),3
2442,1992 (65th),Best Picture,Unforgiven,"Clint Eastwood, Producer",1,Unforgiven (1992),7
2564,1991 (64th),Best Picture,Beauty and the Beast,"Don Hahn, Producer",0,Beauty and the Beast (1991),6
2565,1991 (64th),Best Picture,Bugsy,"Mark Johnson, Barry Levinson and Warren Beatty, Producers",0,Bugsy (1991),8
2566,1991 (64th),Best Picture,JFK,"A. Kitman Ho and Oliver Stone, Producers",0,JFK (1991),6
2567,1991 (64th),Best Picture,The Prince of Tides,"Barbra Streisand and Andrew Karsch, Producers",0,The Prince of Tides (1991),5
2568,1991 (64th),Best Picture,The Silence of the Lambs,"Edward Saxon, Kenneth Utt and Ron Bozman, Producers",1,The Silence of the Lambs (1991),6
2689,1990 (63rd),Best Picture,Awakenings,"Walter F. Parkes and Lawrence Lasker, Producers",0,Awakenings (1990),2
2690,1990 (63rd),Best Picture,Dances With Wolves,"Jim Wilson and Kevin Costner, Producers",1,Dances With Wolves (1990),10
2691,1990 (63rd),Best Picture,Ghost,"Lisa Weinstein, Producer",0,Ghost (1990),4
2692,1990 (63rd),Best Picture,"The Godfather, Part III","Francis Ford Coppola, Producer",0,"The Godfather, Part III (1990)",6
2693,1990 (63rd),Best Picture,Good Fellas,"Irwin Winkler, Producer",0,Good Fellas (1990),5
2816,1989 (62nd),Best Picture,Born on the Fourth of July,"A. Kitman Ho and Oliver Stone, Producers",0,Born on the Fourth of July (1989),6
2817,1989 (62nd),Best Picture,Dead Poets Society,"Steven Haft, Paul Junger Witt and Tony Thomas, Producers",0,Dead Poets Society (1989),3
2818,1989 (62nd),Best Picture,Driving Miss Daisy,"Richard D. Zanuck and Lili Fini Zanuck, Producers",1,Driving Miss Daisy (1989),8
2819,1989 (62nd),Best Picture,Field of Dreams,"Lawrence Gordon and Charles Gordon, Producers",0,Field of Dreams (1989),2
2820,1989 (62nd),Best Picture,My Left Foot,"Noel Pearson, Producer",0,My Left Foot (1989),4
2931,1988 (61st),Best Picture,The Accidental Tourist,"Lawrence Kasdan, Charles Okun and Michael Grillo, Producers",0,The Accidental Tourist (1988),3
2932,1988 (61st),Best Picture,Dangerous Liaisons,"Norma Heyman and Hank Moonjean, Producers",0,Dangerous Liaisons (1988),6
2933,1988 (61st),Best Picture,Mississippi Burning,"Frederick Zollo and Robert F. Colesberry, Producers",0,Mississippi Burning (1988),6
2934,1988 (61st),Best Picture,Rain Man,"Mark Johnson, Producer",1,Rain Man (1988),6
2935,1988 (61st),Best Picture,Working Girl,"Douglas Wick, Producer",0,Working Girl (1988),6
3055,1987 (60th),Best Picture,Broadcast News,"James L. Brooks, Producer",0,Broadcast News (1987),5
3056,1987 (60th),Best Picture,Fatal Attraction,"Stanley R. Jaffe and Sherry Lansing, Producers",0,Fatal Attraction (1987),5
3057,1987 (60th),Best Picture,Hope and Glory,"John Boorman, Producer",0,Hope and Glory (1987),3
3058,1987 (60th),Best Picture,The Last Emperor,"Jeremy Thomas, Producer",1,The Last Emperor (1987),7
3059,1987 (60th),Best Picture,Moonstruck,"Patrick Palmer and Norman Jewison, Producers",0,Moonstruck (1987),5
3175,1986 (59th),Best Picture,Children of a Lesser God,"Burt Sugarman and Patrick Palmer, Producers",0,Children of a Lesser God (1986),4
3176,1986 (59th),Best Picture,Hannah and Her Sisters,"Robert Greenhut, Producer",0,Hannah and Her Sisters (1986),6
3177,1986 (59th),Best Picture,The Mission,"Fernando Ghia and David Puttnam, Producers",0,The Mission (1986),6
3178,1986 (59th),Best Picture,Platoon,"Arnold Kopelson, Producer",1,Platoon (1986),6
3179,1986 (59th),Best Picture,A Room with a View,"Ismail Merchant, Producer",0,A Room with a View (1986),6
3298,1985 (58th),Best Picture,The Color Purple,"Steven Spielberg, Kathleen Kennedy, Frank Marshall and Quincy Jones, Producers",0,The Color Purple (1985),9
3299,1985 (58th),Best Picture,Kiss of the Spider Woman,"David Weisman, Producer",0,Kiss of the Spider Woman (1985),3
3300,1985 (58th),Best Picture,Out of Africa,"Sydney Pollack, Producer",1,Out of Africa (1985),9
3301,1985 (58th),Best Picture,Prizzi's Honor,"John Foreman, Producer",0,Prizzi's Honor (1985),7
3302,1985 (58th),Best Picture,Witness,"Edward S. Feldman, Producer",0,Witness (1985),6
