,Year,Category,Nominee,Additional Info,Won?,Film Name,Total Nominations
7307,1952 (25th),Best Picture,Ivanhoe,"Pandro S. Berman, Producer",0,Ivanhoe (1952),2
7308,1952 (25th),Best Picture,Moulin Rouge,Romulus Films,0,Moulin Rouge (1952),7
7309,1952 (25th),Best Picture,The Quiet Man,"John Ford and Merian C. Cooper, Producers",0,The Quiet Man (1952),5
7441,1951 (24th),Best Picture,An American in Paris,"Arthur Freed, Producer",1,An American in Paris (1951),6
7442,1951 (24th),Best Picture,Decision before Dawn,"Anatole Litvak and Frank McCarthy, Producers",0,Decision before Dawn (1951),2
7443,1951 (24th),Best Picture,A Place in the Sun,"George Stevens, Producer",0,A Place in the Sun (1951),7
7444,1951 (24th),Best Picture,Quo Vadis,"Sam Zimbalist, Producer",0,Quo Vadis (1951),7
7445,1951 (24th),Best Picture,A Streetcar Named Desire,"Charles K. Feldman, Producer",0,A Streetcar Named Desire (1951),10
7560,1950 (23rd),Best Picture,All about Eve,20th Century-Fox,1,All about Eve (1950),12
7561,1950 (23rd),Best Picture,Born Yesterday,Columbia,0,Born Yesterday (1950),4
7562,1950 (23rd),Best Picture,Father of the Bride,Metro-Goldwyn-Mayer,0,Father of the Bride (1950),2
7563,1950 (23rd),Best Picture,King Solomon's Mines,Metro-Goldwyn-Mayer,0,King Solomon's Mines (1950),2
7564,1950 (23rd),Best Picture,Sunset Blvd.,Paramount,0,Sunset Blvd. (1950),9
7672,1949 (22nd),Best Picture,All the King's Men,Robert Rossen Productions,1,All the King's Men (1949),6
7673,1949 (22nd),Best Picture,Battleground,Metro-Goldwyn-Mayer,0,Battleground (1949),4
7674,1949 (22nd),Best Picture,The Heiress,Paramount,0,The Heiress (1949),7
7675,1949 (22nd),Best Picture,A Letter to Three Wives,20th Century-Fox,0,A Letter to Three Wives (1949),2
7676,1949 (22nd),Best Picture,Twelve O'Clock High,20th Century-Fox,0,Twelve O'Clock High (1949),4
7794,1948 (21st),Best Picture,Hamlet,J. Arthur Rank-Two Cities Films,1,Hamlet (1948),7
7795,1948 (21st),Best Picture,Johnny Belinda,Warner Bros.,0,Johnny Belinda (1948),10
7796,1948 (21st),Best Picture,The Red Shoes,J. Arthur Rank-Archers,0,The Red Shoes (1948),4
7797,1948 (21st),Best Picture,The Snake Pit,20th Century-Fox,0,The Snake Pit (1948),5
7798,1948 (21st),Best Picture,The Treasure of the Sierra Madre,Warner Bros.,0,The Treasure of the Sierra Madre (1948),3
7903,1947 (20th),Best Picture,The Bishop's Wife,Samuel Goldwyn Productions,0,The Bishop's Wife (1947),5
7904,1947 (20th),Best Picture,Crossfire,RKO Radio,0,Crossfire (1947),4
7905,1947 (20th),Best Picture,Gentleman's Agreement,20th Century-Fox,1,Gentleman's Agreement (1947),7
7906,1947 (20th),Best Picture,Great Expectations,J. Arthur Rank-Cineguild,0,Great Expectations (1947),3
7907,1947 (20th),Best Picture,Miracle on 34th Street,20th Century-Fox,0,Miracle on 34th Street (1947),2
8016,1946 (19th),Best Picture,The Best Years of Our Lives,Samuel Goldwyn Productions,1,The Best Years of Our Lives (1946),7
8017,1946 (19th),Best Picture,Henry V,J. Arthur Rank-Two Cities Films,0,Henry V (1946),4
8018,1946 (19th),Best Picture,It's a Wonderful Life,Liberty Films,0,It's a Wonderful Life (1946),5
8019,1946 (19th),Best Picture,The Razor's Edge,20th Century-Fox,0,The Razor's Edge (1946),4
8020,1946 (19th),Best Picture,The Yearling,Metro-Goldwyn-Mayer,0,The Yearling (1946),6
8172,1945 (18th),Best Picture,Anchors Aweigh,Metro-Goldwyn-Mayer,0,Anchors Aweigh (1945),4
8173,1945 (18th),Best Picture,The Bells of St. Mary's,Rainbow Productions,0,The Bells of St. Mary's (1945),8
8174,1945 (18th),Best Picture,The Lost Weekend,Paramount,1,The Lost Weekend (1945),5
8175,1945 (18th),Best Picture,Mildred Pierce,Warner Bros.,0,Mildred Pierce (1945),4
8176,1945 (18th),Best Picture,Spellbound,Selznick International Pictures,0,Spellbound (1945),4
8346,1944 (17th),Best Picture,Double Indemnity,Paramount,0,Double Indemnity (1944),5
8347,1944 (17th),Best Picture,Gaslight,Metro-Goldwyn-Mayer,0,Gaslight (1944),5
8348,1944 (17th),Best Picture,Going My Way,Paramount,1,Going My Way (1944),7
8349,1944 (17th),Best Picture,Since You Went Away,Selznick International Pictures,0,Since You Went Away (1944),7
8350,1944 (17th),Best Picture,Wilson,20th Century-Fox,0,Wilson (1944),7
8535,1943 (16th),Best Picture,Casablanca,Warner Bros.,1,Casablanca (1943),6
8536,1943 (16th),Best Picture,For Whom the Bell Tolls,Paramount,0,For Whom the Bell Tolls (1943),8
8537,1943 (16th),Best Picture,Heaven Can Wait,20th Century-Fox,0,Heaven Can Wait (1943),2
8538,1943 (16th),Best Picture,The Human Comedy,Metro-Goldwyn-Mayer,0,The Human Comedy (1943),3
8539,1943 (16th),Best Picture,In Which We Serve,Two Cities,0,In Which We Serve (1943),1
8540,1943 (16th),Best Picture,Madame Curie,Metro-Goldwyn-Mayer,0,Madame Curie (1943),6
8541,1943 (16th),Best Picture,The More the Merrier,Columbia,0,The More the Merrier (1943),4
8542,1943 (16th),Best Picture,The Ox-Bow Incident,20th Century-Fox,0,The Ox-Bow Incident (1943),1
8543,1943 (16th),Best Picture,The Song of Bernadette,20th Century-Fox,0,The Song of Bernadette (1943),10
8544,1943 (16th),Best Picture,Watch on the Rhine,Warner Bros.,0,Watch on the Rhine (1943),3
8723,1942 (15th),Best Picture,The Invaders,Ortus,0,The Invaders (1942),1
8724,1942 (15th),Best Picture,Kings Row,Warner Bros.,0,Kings Row (1942),2
8725,1942 (15th),Best Picture,The Magnificent Ambersons,Mercury,0,The Magnificent Ambersons (1942),3
8726,1942 (15th),Best Picture,Mrs. Miniver,Metro-Goldwyn-Mayer,1,Mrs. Miniver (1942),9
8727,1942 (15th),Best Picture,The Pied Piper,20th Century-Fox,0,The Pied Piper (1942),2
8728,1942 (15th),Best Picture,The Pride of the Yankees,Samuel Goldwyn Productions,0,The Pride of the Yankees (1942),7
8729,1942 (15th),Best Picture,Random Harvest,Metro-Goldwyn-Mayer,0,Random Harvest (1942),6
8730,1942 (15th),Best Picture,The Talk of the Town,Columbia,0,The Talk of the Town (1942),4
8731,1942 (15th),Best Picture,Wake Island,Paramount,0,Wake Island (1942),3
8732,1942 (15th),Best Picture,Yankee Doodle Dandy,Warner Bros.,0,Yankee Doodle Dandy (1942),7
8904,1941 (14th),Best Picture,Blossoms in the Dust,Metro-Goldwyn-Mayer,0,Blossoms in the Dust (1941),3
8905,1941 (14th),Best Picture,Citizen Kane,Mercury,0,Citizen Kane (1941),7
8906,1941 (14th),Best Picture,Here Comes Mr. Jordan,Columbia,0,Here Comes Mr. Jordan (1941),4
8907,1941 (14th),Best Picture,Hold Back the Dawn,Paramount,0,Hold Back the Dawn (1941),4
8908,1941 (14th),Best Picture,How Green Was My Valley,20th Century-Fox,1,How Green Was My Valley (1941),8
8909,1941 (14th),Best Picture,The Little Foxes,Samuel Goldwyn Productions,0,The Little Foxes (1941),8
8910,1941 (14th),Best Picture,The Maltese Falcon,Warner Bros.,0,The Maltese Falcon (1941),2
8911,1941 (14th),Best Picture,One Foot in Heaven,Warner Bros.,0,One Foot in Heaven (1941),1
8912,1941 (14th),Best Picture,Sergeant York,Warner Bros.,0,Sergeant York (1941),9
8913,1941 (14th),Best Picture,Suspicion,RKO Radio,0,Suspicion (1941),3
9081,1940 (13th),Best Picture,"All This, and Heaven Too",Warner Bros.,0,"All This, and Heaven Too (1940)",2
9082,1940 (13th),Best Picture,Foreign Correspondent,Walter Wanger (production company),0,Foreign Correspondent (1940),3
9083,1940 (13th),Best Picture,The Grapes of Wrath,20th Century-Fox,0,The Grapes of Wrath (1940),6
9084,1940 (13th),Best Picture,The Great Dictator,Charles Chaplin Productions,0,The Great Dictator (1940),4
9085,1940 (13th),Best Picture,Kitty Foyle,RKO Radio,0,Kitty Foyle (1940),4
9086,1940 (13th),Best Picture,The Letter,Warner Bros.,0,The Letter (1940),6
9087,1940 (13th),Best Picture,The Long Voyage Home,Argosy-Wanger,0,The Long Voyage Home (1940),3
9088,1940 (13th),Best Picture,Our Town,Sol Lesser (production company),0,Our Town (1940),6
9089,1940 (13th),Best Picture,The Philadelphia Story,Metro-Goldwyn-Mayer,0,The Philadelphia Story (1940),5
9090,1940 (13th),Best Picture,Rebecca,Selznick International Pictures,1,Rebecca (1940),8
9234,1939 (12th),Best Picture,Dark Victory,Warner Bros.-First National,0,Dark Victory (1939),3
9235,1939 (12th),Best Picture,Gone with the Wind,Selznick International Pictures,1,Gone with the Wind (1939),10
9236,1939 (12th),Best Picture,"Goodbye, Mr. Chips",Metro-Goldwyn-Mayer,0,"Goodbye, Mr. Chips (1939)",6
9237,1939 (12th),Best Picture,Love Affair,RKO Radio,0,Love Affair (1939),5
9238,1939 (12th),Best Picture,Mr. Smith Goes to Washington,Columbia,0,Mr. Smith Goes to Washington (1939),9
9239,1939 (12th),Best Picture,Ninotchka,Metro-Goldwyn-Mayer,0,Ninotchka (1939),2
9240,1939 (12th),Best Picture,Of Mice and Men,Hal Roach (production company),0,Of Mice and Men (1939),4
9241,1939 (12th),Best Picture,Stagecoach,Walter Wanger (production company),0,Stagecoach (1939),6
9242,1939 (12th),Best Picture,The Wizard of Oz,Metro-Goldwyn-Mayer,0,The Wizard of Oz (1939),4
9243,1939 (12th),Best Picture,Wuthering Heights,Samuel Goldwyn Productions,0,Wuthering Heights (1939),6
9385,1938 (11th),Best Picture,The Adventures of Robin Hood,Warner Bros.-First National,0,The Adventures of Robin Hood (1938),4
9386,1938 (11th),Best Picture,Alexander's Ragtime Band,20th Century-Fox,0,Alexander's Ragtime Band (1938),5
9387,1938 (11th),Best Picture,Boys Town,Metro-Goldwyn-Mayer,0,Boys Town (1938),3
9388,1938 (11th),Best Picture,The Citadel,Metro-Goldwyn-Mayer,0,The Citadel (1938),3
9389,1938 (11th),Best Picture,Four Daughters,Warner Bros.-First National,0,Four Daughters (1938),4
9390,1938 (11th),Best Picture,Grand Illusion,Realization D'Art Cinematographique,0,Grand Illusion (1938),1
9391,1938 (11th),Best Picture,Jezebel,Warner Bros.,0,Jezebel (1938),4
9392,1938 (11th),Best Picture,Pygmalion,Metro-Goldwyn-Mayer,0,Pygmalion (1938),3
9393,1938 (11th),Best Picture,Test Pilot,Metro-Goldwyn-Mayer,0,Test Pilot (1938),2
9394,1938 (11th),Best Picture,You Can't Take It with You,Columbia,1,You Can't Take It with You (1938),5
9508,1937 (10th),Best Picture,The Awful Truth,Columbia,0,The Awful Truth (1937),5
9509,1937 (10th),Best Picture,Captains Courageous,Metro-Goldwyn-Mayer,0,Captains Courageous (1937),3
9510,1937 (10th),Best Picture,Dead End,Samuel Goldwyn Productions,0,Dead End (1937),3
9511,1937 (10th),Best Picture,The Good Earth,Metro-Goldwyn-Mayer,0,The Good Earth (1937),4
9512,1937 (10th),Best Picture,In Old Chicago,20th Century-Fox,0,In Old Chicago (1937),4
9513,1937 (10th),Best Picture,The Life of Emile Zola,Warner Bros.,1,The Life of Emile Zola (1937),7
9514,1937 (10th),Best Picture,Lost Horizon,Columbia,0,Lost Horizon (1937),6
9515,1937 (10th),Best Picture,One Hundred Men and a Girl,Universal,0,One Hundred Men and a Girl (1937),4
9516,1937 (10th),Best Picture,Stage Door,RKO Radio,0,Stage Door (1937),3
9517,1937 (10th),Best Picture,A Star Is Born,Selznick International Pictures,0,A Star Is Born (1937),4
9631,1936 (9th),Best Picture,Anthony Adverse,Warner Bros.,0,Anthony Adverse (1936),5
9632,1936 (9th),Best Picture,Dodsworth,Samuel Goldwyn Productions,0,Dodsworth (1936),6
9633,1936 (9th),Best Picture,The Great Ziegfeld,Metro-Goldwyn-Mayer,1,The Great Ziegfeld (1936),5
9634,1936 (9th),Best Picture,Libeled Lady,Metro-Goldwyn-Mayer,0,Libeled Lady (1936),1
9635,1936 (9th),Best Picture,Mr. Deeds Goes to Town,Columbia,0,Mr. Deeds Goes to Town (1936),4
9636,1936 (9th),Best Picture,Romeo and Juliet,Metro-Goldwyn-Mayer,0,Romeo and Juliet (1936),4
9637,1936 (9th),Best Picture,San Francisco,Metro-Goldwyn-Mayer,0,San Francisco (1936),4
9638,1936 (9th),Best Picture,The Story of Louis Pasteur,Cosmopolitan,0,The Story of Louis Pasteur (1936),2
9639,1936 (9th),Best Picture,A Tale of Two Cities,Metro-Goldwyn-Mayer,0,A Tale of Two Cities (1936),2
9640,1936 (9th),Best Picture,Three Smart Girls,Universal,0,Three Smart Girls (1936),2
9728,1935 (8th),Best Picture,Alice Adams,RKO Radio,0,Alice Adams (1935),1
9729,1935 (8th),Best Picture,Broadway Melody of 1936,Metro-Goldwyn-Mayer,0,Broadway Melody of 1936 (1935),1
9730,1935 (8th),Best Picture,Captain Blood,Cosmopolitan [came in 3rd],0,Captain Blood (1935),4
9731,1935 (8th),Best Picture,David Copperfield,Metro-Goldwyn-Mayer,0,David Copperfield (1935),2
9732,1935 (8th),Best Picture,The Informer,RKO Radio [came in 2nd],0,The Informer (1935),5
9733,1935 (8th),Best Picture,Les Miserables,20th Century,0,Les Miserables (1935),2
9734,1935 (8th),Best Picture,The Lives of a Bengal Lancer,Paramount,0,The Lives of a Bengal Lancer (1935),5
9735,1935 (8th),Best Picture,A Midsummer Night's Dream,Warner Bros.,0,A Midsummer Night's Dream (1935),2
9736,1935 (8th),Best Picture,Mutiny on the Bounty,Metro-Goldwyn-Mayer,1,Mutiny on the Bounty (1935),6
9737,1935 (8th),Best Picture,Naughty Marietta,Metro-Goldwyn-Mayer,0,Naughty Marietta (1935),2
9738,1935 (8th),Best Picture,Ruggles of Red Gap,Paramount,0,Ruggles of Red Gap (1935),1
9739,1935 (8th),Best Picture,Top Hat,RKO Radio,0,Top Hat (1935),3
9814,1934 (7th),Best Picture,The Barretts of Wimpole Street,Metro-Goldwyn-Mayer [came in 2nd],0,The Barretts of Wimpole Street (1934),1
9815,1934 (7th),Best Picture,Cleopatra,Paramount,0,Cleopatra (1934),3
9816,1934 (7th),Best Picture,Flirtation Walk,First National,0,Flirtation Walk (1934),2
9817,1934 (7th),Best Picture,The Gay Divorcee,RKO Radio,0,The Gay Divorcee (1934),5
9818,1934 (7th),Best Picture,Here Comes the Navy,Warner Bros.,0,Here Comes the Navy (1934),1
9819,1934 (7th),Best Picture,The House of Rothschild,20th Century [came in 3rd],0,The House of Rothschild (1934),1
9820,1934 (7th),Best Picture,Imitation of Life,Universal,0,Imitation of Life (1934),2
9821,1934 (7th),Best Picture,It Happened One Night,Columbia,1,It Happened One Night (1934),4
9822,1934 (7th),Best Picture,One Night of Love,Columbia,0,One Night of Love (1934),6
9823,1934 (7th),Best Picture,The Thin Man,Metro-Goldwyn-Mayer,0,The Thin Man (1934),2
9824,1934 (7th),Best Picture,Viva Villa!,Metro-Goldwyn-Mayer,0,Viva Villa! (1934),2
9825,1934 (7th),Best Picture,The White Parade,Jesse L. Lasky (production company),0,The White Parade (1934),2
9871,1932/33 (6th),Best Picture,Cavalcade,Fox,1,Cavalcade (1932/33),3
9872,1932/33 (6th),Best Picture,A Farewell to Arms,Paramount [came in 2nd],0,A Farewell to Arms (1932/33),3
9873,1932/33 (6th),Best Picture,42nd Street,Warner Bros.,0,42nd Street (1932/33),2
9874,1932/33 (6th),Best Picture,I Am a Fugitive from a Chain Gang,Warner Bros.,0,I Am a Fugitive from a Chain Gang (1932/33),2
9875,1932/33 (6th),Best Picture,Lady for a Day,Columbia,0,Lady for a Day (1932/33),2
9876,1932/33 (6th),Best Picture,Little Women,RKO Radio [came in 3rd],0,Little Women (1932/33),2
9877,1932/33 (6th),Best Picture,The Private Life of Henry VIII,London Films,0,The Private Life of Henry VIII (1932/33),2
9878,1932/33 (6th),Best Picture,She Done Him Wrong,Paramount,0,She Done Him Wrong (1932/33),1
9879,1932/33 (6th),Best Picture,Smilin' Through,Metro-Goldwyn-Mayer,0,Smilin' Through (1932/33),1
9880,1932/33 (6th),Best Picture,State Fair,Fox,0,State Fair (1932/33),1
9936,1931/32 (5th),Best Picture,Arrowsmith,Samuel Goldwyn Productions,0,Arrowsmith (1931/32),2
9937,1931/32 (5th),Best Picture,Bad Girl,Fox,0,Bad Girl (1931/32),2
9938,1931/32 (5th),Best Picture,The Champ,Metro-Goldwyn-Mayer,0,The Champ (1931/32),3
9939,1931/32 (5th),Best Picture,Five Star Final,First National,0,Five Star Final (1931/32),1
9940,1931/32 (5th),Best Picture,Grand Hotel,Metro-Goldwyn-Mayer,1,Grand Hotel (1931/32),1
9941,1931/32 (5th),Best Picture,One Hour with You,Paramount Publix,0,One Hour with You (1931/32),1
9942,1931/32 (5th),Best Picture,Shanghai Express,Paramount Publix,0,Shanghai Express (1931/32),2
9943,1931/32 (5th),Best Picture,The Smiling Lieutenant,Paramount Publix,0,The Smiling Lieutenant (1931/32),1
9993,1930/31 (4th),Best Picture,Cimarron,RKO Radio,1,Cimarron (1930/31),5
9994,1930/31 (4th),Best Picture,East Lynne,Fox,0,East Lynne (1930/31),1
9995,1930/31 (4th),Best Picture,The Front Page,The Caddo Company,0,The Front Page (1930/31),3
9996,1930/31 (4th),Best Picture,Skippy,Paramount Publix,0,Skippy (1930/31),3
9997,1930/31 (4th),Best Picture,Trader Horn,Metro-Goldwyn-Mayer,0,Trader Horn (1930/31),1
10045,1929/30 (3rd),Best Picture,All Quiet on the Western Front,Universal,1,All Quiet on the Western Front (1929/30),1
10046,1929/30 (3rd),Best Picture,The Big House,Cosmopolitan,0,The Big House (1929/30),3
10047,1929/30 (3rd),Best Picture,Disraeli,Warner Bros.,0,Disraeli (1929/30),2
10048,1929/30 (3rd),Best Picture,The Divorcee,Metro-Goldwyn-Mayer,0,The Divorcee (1929/30),2
10049,1929/30 (3rd),Best Picture,The Love Parade,Paramount Famous Lasky,0,The Love Parade (1929/30),3
10087,1928/29 (2nd),Best Picture,Feature Productions,Alibi,0,Feature Productions (1928/29),1
10088,1928/29 (2nd),Best Picture,Fox,In Old Arizona,0,Fox (1928/29),1
10089,1928/29 (2nd),Best Picture,Metro-Goldwyn-Mayer,The Broadway Melody,1,Metro-Goldwyn-Mayer (1928/29),2
10090,1928/29 (2nd),Best Picture,Metro-Goldwyn-Mayer,Hollywood Revue,0,Metro-Goldwyn-Mayer (1928/29),2
10091,1928/29 (2nd),Best Picture,Paramount Famous Lasky,The Patriot,0,Paramount Famous Lasky (1928/29),1
10117,1927/28 (1st),Best Picture,The Caddo Company,The Racket,0,The Caddo Company (1927/28),1
10118,1927/28 (1st),Best Picture,Fox,7th Heaven,0,Fox (1927/28),1
10119,1927/28 (1st),Best Picture,Paramount Famous Lasky,Wings,1,Paramount Famous Lasky (1927/28),1
